,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
24,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32385b19836c91c7c1fbc6,815 Superior Ave E,US,Cleveland,United States,,605,"['815 Superior Ave E', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50159, 'lng': -81.689703}]",41.50159,-81.689703,44114,OH,Mannys Cozy Corner Restaurant,v-1543089334,
25,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32572d19836c91c7ce2420,815 Superior Ave E,US,Cleveland,United States,,605,"['815 Superior Ave E', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50159, 'lng': -81.689703}]",41.50159,-81.689703,44114,OH,A Better Place Restaurant,v-1543089334,
26,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,55931c0c498e38571aa79221,1313 W 6th St,US,Cleveland,United States,,573,"['1313 W 6th St', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.499833403558966, 'lng': -81.69910850082299}]",41.499833403558966,-81.69910850082299,44113,OH,Hanabi Japanese Restaurant,v-1543089334,
27,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f32b8c419836c91c7f33e96,1213 W 6th St,US,Cleveland,United States,,657,"['1213 W 6th St', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.500718, 'lng': -81.699472}]",41.500718,-81.699472,44113,OH,Sinergy Restaurant and Lounge,v-1543089334,
28,[],,,,,,,False,4e49773ba80997a2dbe690a0,,US,Cleveland,United States,,671,"['Cleveland, OH', 'United States']","[{'label': 'display', 'lat': 41.498046, 'lng': -81.685519}]",41.498046,-81.685519,,OH,Huron/E 9th Restaurant Lounge Area,v-1543089334,
29,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4adb67e0f964a520152721e3,1425 Euclid Ave,US,Cleveland,United States,,1106,"['1425 Euclid Ave', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.50088815373206, 'lng': -81.68126656669872}]",41.50088815373206,-81.68126656669872,44115,OH,Otto Moser's Restaurant,v-1543089334,
30,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4d8a984f7d4c5481392d6d71,,US,,United States,,788,"['Ohio', 'United States']","[{'label': 'display', 'lat': 41.500629, 'lng': -81.685376}]",41.500629,-81.685376,,Ohio,Hannah Restaurant,v-1543089334,
31,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b606d59f964a5204de529e3,1260 Euclid Ave,US,Cleveland,United States,,940,"['1260 Euclid Ave', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.500648723538546, 'lng': -81.68331291721037}]",41.500648723538546,-81.68331291721037,44115,OH,Encore Restaurant,v-1543089334,
32,"[{'id': '4bf58dd8d48988d109941735', 'name': 'Eastern European Restaurant', 'pluralName': 'Eastern European Restaurants', 'shortName': 'Eastern European', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b27a9f9f964a520458824e3,6501 Fleet Ave,US,Cleveland,United States,,6080,"['6501 Fleet Ave', 'Cleveland, OH 44105', 'United States']","[{'label': 'display', 'lat': 41.456236408080805, 'lng': -81.64477809017725}]",41.456236408080805,-81.64477809017725,44105,OH,Red Chimney Restaurant,v-1543089334,
33,"[{'id': '4bf58dd8d48988d11f941735', 'name': 'Nightclub', 'pluralName': 'Nightclubs', 'shortName': 'Nightclub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,51b7cc8c498e85a03e70d08a,"1437 St Clair Ave NE, Cleveland, OH 44114",US,Cleveland,United States,E 13th St,1243,"['1437 St Clair Ave NE, Cleveland, OH 44114 (E 13th St)', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.506524199797404, 'lng': -81.68579874027422}]",41.506524199797404,-81.68579874027422,44114,OH,Vada Restaurant and Lounge,v-1543089334,
34,"[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b753929f964a520b0012ee3,1391 Warren Rd,US,Lakewood,United States,at Detroit Rd,8925,"['1391 Warren Rd (at Detroit Rd)', 'Lakewood, OH 44107', 'United States']","[{'label': 'display', 'lat': 41.48539020238257, 'lng': -81.7993633621719}]",41.48539020238257,-81.7993633621719,44107,OH,The Place to Be Deli-Restaurant,v-1543089334,
35,"[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4beebb05e24d20a13d417314,12009 Detroit Ave,US,Lakewood,United States,,6787,"['12009 Detroit Ave', 'Lakewood, OH 44107', 'United States']","[{'label': 'display', 'lat': 41.483910881410445, 'lng': -81.77295239364197}]",41.483910881410445,-81.77295239364197,44107,OH,Shore Restaurant,v-1543089334,
36,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bf03d20c8d920a14c9d9430,17015 Lorain Ave,US,Cleveland,United States,,11462,"['17015 Lorain Ave', 'Cleveland, OH 44111', 'United States']","[{'label': 'display', 'lat': 41.450205277114506, 'lng': -81.8159056614727}]",41.450205277114506,-81.8159056614727,44111,OH,West Park Station Restaurant & Bar,v-1543089334,
37,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b3cee00f964a520ce8925e3,14490 Cedar Rd,US,University Hts,United States,,14634,"['14490 Cedar Rd', 'University Hts, OH 44121', 'United States']","[{'label': 'display', 'lat': 41.50131691525992, 'lng': -81.5179951802727}]",41.50131691525992,-81.5179951802727,44121,OH,Jack's Deli & Restaurant,v-1543089334,
38,"[{'id': '4bf58dd8d48988d157941735', 'name': 'New American Restaurant', 'pluralName': 'New American Restaurants', 'shortName': 'New American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,565a6217498e577377fa5b56,14523 Madison Ave,US,Lakewood,United States,at Belle Ave,8902,"['14523 Madison Ave (at Belle Ave)', 'Lakewood, OH 44107', 'United States']","[{'label': 'display', 'lat': 41.477035764145946, 'lng': -81.7968325316906}]",41.477035764145946,-81.7968325316906,44107,OH,sarita a restaurant,v-1543089334,489948403
39,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b30e74df964a520b7fc24e3,7380 State Rd,US,Parma,United States,Pleasant Valley Rd.,14823,"['7380 State Rd (Pleasant Valley Rd.)', 'Parma, OH 44134', 'United States']","[{'label': 'display', 'lat': 41.36501280077796, 'lng': -81.71771015009128}]",41.36501280077796,-81.71771015009128,44134,OH,Stancato's Italian Restaurant,v-1543089334,
40,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b2d0494f964a5206acc24e3,20780 Center Ridge Rd,US,Rocky River,United States,,13638,"['20780 Center Ridge Rd', 'Rocky River, OH 44116', 'United States']","[{'label': 'display', 'lat': 41.46273759983695, 'lng': -81.85046800737311}]",41.46273759983695,-81.85046800737311,44116,OH,Rustic Restaurant,v-1543089334,
41,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",331201,/delivery_provider_grubhub_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",grubhub,https://www.grubhub.com/restaurant/rubins-family-restaurant-14651-lorain-ave-cleveland/331201?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=331201,False,4b23d88af964a520155b24e3,14651 Lorain Ave,US,Cleveland,United States,,10035,"['14651 Lorain Ave', 'Cleveland, OH 44111', 'United States']","[{'label': 'display', 'lat': 41.453303957419585, 'lng': -81.7987312026834}]",41.453303957419585,-81.7987312026834,44111,OH,Rubin's Restaurant & Deli,v-1543089334,
42,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e5e1cde483bbc5f69689250,Sheraton Cleveland Airport Hotel,US,Cleveland,United States,,15098,"['Sheraton Cleveland Airport Hotel', 'Cleveland, OH 44135', 'United States']","[{'label': 'display', 'lat': 41.411133168606405, 'lng': -81.83360001186131}]",41.411133168606405,-81.83360001186131,44135,OH,Hemispheres | Restaurant & Lounge,v-1543089334,
43,"[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4accf50ff964a52044ca20e3,1332 W 117th St,US,Lakewood,United States,,6428,"['1332 W 117th St', 'Lakewood, OH 44107', 'United States']","[{'label': 'display', 'lat': 41.48559853086669, 'lng': -81.76902374011064}]",41.48559853086669,-81.76902374011064,44107,OH,Dianna's Deli & Restaurant,v-1543089334,
44,"[{'id': '4bf58dd8d48988d1c1941735', 'name': 'Mexican Restaurant', 'pluralName': 'Mexican Restaurants', 'shortName': 'Mexican', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b525ae7f964a520f47827e3,6278 Pearl Rd,US,Parma Heights,United States,,13152,"['6278 Pearl Rd', 'Parma Heights, OH 44130', 'United States']","[{'label': 'display', 'lat': 41.39090764666532, 'lng': -81.7630016802816}]",41.39090764666532,-81.7630016802816,44130,OH,Don Ramon Mexican Restaurant,v-1543089334,
45,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,51eadf9e498ebafebc12c544,13101 Shaker Shaker Square,US,Cleveland,United States,Shaker Blvd,8625,"['13101 Shaker Shaker Square (Shaker Blvd)', 'Cleveland, OH 44120', 'United States']","[{'label': 'display', 'lat': 41.48424350754052, 'lng': -81.59138012171411}]",41.48424350754052,-81.59138012171411,44120,OH,Edwins Leadership & Restaurant Institute,v-1543089334,
46,"[{'id': '4bf58dd8d48988d1c1941735', 'name': 'Mexican Restaurant', 'pluralName': 'Mexican Restaurants', 'shortName': 'Mexican', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4dfe6b8e52b1267800ce41c3,6935 Pearl Rd,US,Cleveland,United States,,15735,"['6935 Pearl Rd', 'Cleveland, OH 44130', 'United States']","[{'label': 'display', 'lat': 41.376687805241765, 'lng': -81.79257452487946}]",41.376687805241765,-81.79257452487946,44130,OH,El Rodeo Mexican Restaurant,v-1543089334,
47,"[{'id': '4bf58dd8d48988d145941735', 'name': 'Chinese Restaurant', 'pluralName': 'Chinese Restaurants', 'shortName': 'Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4c76e121f2473704e95b64eb,14055 Lorain Ave,US,Cleveland,United States,W140th,9452,"['14055 Lorain Ave (W140th)', 'Cleveland, OH 44111', 'United States']","[{'label': 'display', 'lat': 41.45454639941121, 'lng': -81.7916479381444}]",41.45454639941121,-81.7916479381444,44111,OH,King Fong Chinese Food Restaurant,v-1543089334,
48,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b23aa51f964a520c55724e3,8803 Brecksville Rd,US,Brecksville,United States,,20222,"['8803 Brecksville Rd', 'Brecksville, OH 44141', 'United States']","[{'label': 'display', 'lat': 41.32240472757259, 'lng': -81.62615162556165}]",41.32240472757259,-81.62615162556165,44141,OH,Creekside Restaurant & Bar,v-1543089334,38660059
49,"[{'id': '4bf58dd8d48988d1c1941735', 'name': 'Mexican Restaurant', 'pluralName': 'Mexican Restaurants', 'shortName': 'Mexican', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ad4bff0f964a52017e920e3,3456 W 117th St,US,Cleveland,United States,at Governor Ave,7600,"['3456 W 117th St (at Governor Ave)', 'Cleveland, OH 44111', 'United States']","[{'label': 'display', 'lat': 41.45885932011123, 'lng': -81.76909460078552}]",41.45885932011123,-81.76909460078552,44111,OH,Luchita's Mexican Restaurant,v-1543089334,85848399
